"","Authors","Title","Published.Year","Published.Month","Journal","Volume","Issue","Pages","DOI","Abstract"
"1","Pan, Y.; Darzi, A.; Kabiri, A.; Zhao, G.; Luo, W.; Xiong, C.; Zhang, L.","Quantifying human mobility behaviour changes during the COVID-19 outbreak in the United States",2020,"26-Nov","Sci Rep",10,"1","20742","10.1038/s41598-020-77751-2","Since the first case of the novel coronavirus disease (COVID-19) was confirmed in Wuhan, China, social distancing has been promoted worldwide, including in the United States, as a major community mitigation strategy. However, our understanding remains limited in how people would react to such control measures, as well as how people would resume their normal behaviours when those orders were relaxed. We utilize an integrated dataset of real-time mobile device location data involving 100 million devices in the contiguous United States (plus Alaska and Hawaii) from February 2, 2020 to May 30, 2020. Built upon the common human mobility metrics, we construct a Social Distancing Index (SDI) to evaluate people's mobility pattern changes along with the spread of COVID-19 at different geographic levels. We find that both government orders and local outbreak severity significantly contribute to the strength of social distancing. As people tend to practice less social distancing immediately after they observe a sign of local mitigation, we identify several states and counties with higher risks of continuous community transmission and a second outbreak. Our proposed index could help policymakers and researchers monitor people's real-time mobility behaviours, understand the influence of government orders, and evaluate the risk of local outbreaks."
"2","Noland, R. B.","Mobility and the effective reproduction rate of COVID-19",2021,"Mar","J Transp Health",20,"","101016","10.1016/j.jth.2021.101016","OBJECTIVES: Due to the infectiousness of COVID-19, the mobility of individuals has sharply decreased, both in response to government policy and self-protection. This analysis seeks to understand how mobility reductions reduce the spread of the coronavirus (SAR-CoV-2), using readily available data sources. METHODS: Mobility data from Google is correlated with estimates of the effective reproduction rate, R (t) , which is a measure of viral infectiousness (Google, 2020). The Google mobility data provides estimates of reductions in mobility, for six types of trips and activities. R (t) for US states are downloaded from an on-line platform that derives daily estimates based on data from the Covid Tracking Project (Wissel et al., 2020; Systrom et al., 2020). Fixed effects models are estimated relating mean R (t) and 80% upper level credible interval estimates to changes in mobility and a time-trend value and with both 7-day and 14-day lags. RESULTS: All mobility variables are correlated with median R (t) and the upper level credible interval of R (t) . Staying at home is effective at reducing R (t,) . Time spent at parks has a small positive effect, while other activities all have larger positive effects. The time trend is negative suggesting increases in self-protective behavior. Predictions suggest that returning to baseline levels of activity for retail, transit, and workplaces, will increase R (t) above 1.0, but not for other activities. Mobility reductions of about 20-40% are needed to achieve an R (t) below 1.0 (for the upper level 80% credible interval) and even larger reductions to achieve an R (t) below 0.7. CONCLUSIONS: Policy makers need to be cautious with encouraging return to normal mobility behavior, especially returns to workplaces, transit, and retail locations. Activity at parks appears to not increase R (t) as much. This research also demonstrates the value of using on-line data sources to conduct rapid policy-relevant analysis of emerging issues."
"3","Zhong, P.; Guo, S.; Chen, T.","Correlation between travellers departing from Wuhan before the Spring Festival and subsequent spread of COVID-19 to all provinces in China",2021,"","Journal of Travel Medicine",27,"3","4-Jan","10.1093/JTM/TAAA036",""
"4","Yang, H.; Chen, D.; Jiang, Q.; Yuan, Z.","High intensities of population movement were associated with high incidence of COVID-19 during the pandemic",2020,"3-Aug","Epidemiol Infect",148,"","e177","10.1017/s0950268820001703","Increased population movements and increased mobility made it possible for severe acute respiratory syndrome coronavirus 2, which is mainly spread by respiratory droplets, to spread faster and more easily. This study tracked and analysed the development of the coronavirus 2019 (COVID-19) outbreak in the top 100 cities that were destinations for people who left Wuhan before the city entered lockdown. Data were collected from the top 100 destination cities for people who travelled from Wuhan before the lockdown, the proportion of people travelling into each city, the intensity of intracity travel and the daily reports of COVID-19. The proportion of the population that travelled from Wuhan to each city from 10 January 2020 to 24 January 2020, was positively correlated with and had a significant linear relationship with the cumulative number of confirmed cases of COVID-19 in each city after 24 January (all P < 0.01). After the State Council launched a multidepartment joint prevention and control effort on 22 January 2020 and compared with data collected on 18 February, the average intracity travel intensity of the aforementioned 100 cities decreased by 60-70% (all P < 0.001). The average intensity of intracity travel on the nth day in these cities during the development of the outbreak was positively related to the growth rate of the number of confirmed COVID-19 cases on the n + 5th day in these cities and had a significant linear relationship (P < 0.01). Higher intensities of population movement were associated with a higher incidence of COVID-19 during the pandemic. Restrictions on population movement can effectively curb the development of an outbreak."
"5","Erim, D. O.; Oke, G. A.; Adisa, A. O.; Odukoya, O.; Ayo-Yusuf, O. A.; Erim, T. N.; Tsafa, T. N.; Meremikwu, M. M.; Agaku, I. T.","Associations of Government-Mandated Closures and Restrictions With Aggregate Mobility Trends and SARS-CoV-2 Infections in Nigeria",2021,"4-Jan","JAMA Netw Open",4,"1","e2032101","10.1001/jamanetworkopen.2020.32101","IMPORTANCE: To prepare for future coronavirus disease 2019 (COVID-19) waves, Nigerian policy makers need insights into community spread of COVID-19 and changes in rates of infection associated with government-mandated closures and restrictions. OBJECTIVES: To measure the association of closures and restrictions with aggregate mobility and the association of mobility with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections and to characterize community spread of COVID-19. DESIGN, SETTING, AND PARTICIPANTS: This cross-sectional study used aggregated anonymized mobility data from smartphone users in Nigeria who opted to provide location history (from a pool of up to 40 million individuals) collected between February 27 and July 21, 2020. The analyzed data included daily counts of confirmed SARS-CoV-2 infections and daily changes in aggregate mobility across 6 categories: retail and recreation, grocery and pharmacy, parks, transit stations, workplaces, and residential. Closures and restrictions were initiated on March 30, 2020, and partially eased on May 4, 2020. MAIN OUTCOMES AND MEASURES: Interrupted time series were used to measure associations of closures and restrictions with aggregate mobility. Negative binomial regression was used to evaluate associations between confirmed SARS-CoV-2 infections and mobility categories. Averted infections were estimated by subtracting cumulative confirmed infections from estimated infections assuming no closures and restrictions. RESULTS: Closures and restrictions had negative associations with mean change in daily aggregate mobility in retail and recreation (-46.87 [95% CI, -55.98 to -37.76] percentage points; P‚Äâ<‚Äâ.001), grocery and pharmacy (-28.95 [95% CI, -40.12 to -17.77] percentage points; P‚Äâ<‚Äâ.001), parks (-43.59 [95% CI, -49.89 to -37.30] percentage points; P‚Äâ<‚Äâ.001), transit stations (-47.44 [95% CI, -56.70 to -38.19] percentage points; P‚Äâ<‚Äâ.001), and workplaces (-53.07 [95% CI, -67.75 to -38.39] percentage points; P‚Äâ<‚Äâ.001) and a positive association with mobility in residential areas (24.10 [95% CI, 19.14 to 29.05] percentage points; P‚Äâ<‚Äâ.001). Most of these changes reversed after closures and restrictions were partially eased (retail and recreation: 14.63 [95% CI, 10.95 to 18.30] percentage points; P‚Äâ<‚Äâ.001; grocery and pharmacy: 15.29 [95% CI, 10.90 to 19.67] percentage points; P‚Äâ<‚Äâ.001; parks: 6.48 [95% CI, 3.98 to 8.99] percentage points; P‚Äâ<‚Äâ.001; transit stations: 17.93 [95% CI, 14.03 to 21.83] percentage points; P‚Äâ<‚Äâ.001; residential: -5.59 [95% CI, -9.08 to -2.09] percentage points; P‚Äâ=‚Äâ.002). Additionally, every percentage point increase in aggregate mobility was associated with higher incidences of SARS-CoV-2 infection in residential areas (incidence rate ratio [IRR], 1.03 [95% CI, 1.00 to 1.07]; P‚Äâ=‚Äâ.04), transit stations (IRR, 1.02 [95% CI, 1.00 to 1.03]; P‚Äâ=‚Äâ.008), and workplaces (IRR, 1.01 [95% CI, 1.00 to 1.02]; P‚Äâ=‚Äâ.04). Lastly, closures and restrictions may have been associated with averting up to 5.8 million SARS-CoV-2 infections over the study period. CONCLUSIONS AND RELEVANCE: In this cross-sectional study, closures and restrictions had significant associations with aggregate mobility and were associated with decreased SARS-CoV-2 infections. These findings suggest that future anticontagion measures need better infection control and contact tracing in residential areas, transit stations, and workplaces."
"6","Jeffrey, B.; Walters, C. E.; Ainslie, K. E. C.; Eales, O.; Ciavarella, C.; Bhatia, S.; Hayes, S.; Baguelin, M.; Boonyasiri, A.; Brazeau, N. F.; Cuomo-Dannenburg, G.; FitzJohn, R. G.; Gaythorpe, K.; Green, W.; Imai, N.; Mellan, T. A.; Mishra, S.; Nouvellet, P.; Unwin, H. J. T.; Verity, R.; Vollmer, M.; Whittaker, C.; Ferguson, N. M.; Donnelly, C. A.; Riley, S.","Anonymised and aggregated crowd level mobility data from mobile phones suggests that initial compliance with COVID-19 social distancing interventions was high and geographically consistent across the UK",2020,"","Wellcome Open Res",5,"","170","10.12688/wellcomeopenres.15997.1","Background: Since early March 2020, the COVID-19 epidemic across the United Kingdom has led to a range of social distancing policies, which have resulted in reduced mobility across different regions. Crowd level data on mobile phone usage can be used as a proxy for actual population mobility patterns and provide a way of quantifying the impact of social distancing measures on changes in mobility. Methods: Here, we use two mobile phone-based datasets (anonymised and aggregated crowd level data from O2 and from the Facebook app on mobile phones) to assess changes in average mobility, both overall and broken down into high and low population density areas, and changes in the distribution of journey lengths. Results: We show that there was a substantial overall reduction in mobility, with the most rapid decline on the 24th March 2020, the day after the Prime Minister's announcement of an enforced lockdown. The reduction in mobility was highly synchronized across the UK. Although mobility has remained low since 26th March 2020, we detect a gradual increase since that time. We also show that the two different datasets produce similar trends, albeit with some location-specific differences. We see slightly larger reductions in average mobility in high-density areas than in low-density areas, with greater variation in mobility in the high-density areas: some high-density areas eliminated almost all mobility. Conclusions: These analyses form a baseline from which to observe changes in behaviour in the UK as social distancing is eased and inform policy towards the future control of SARS-CoV-2 in the UK."
"7","Lai, Y.; Charpignon, M. L.; Ebner, D. K.; Celi, L. A.","Unsupervised learning for county-level typological classification for COVID-19 research",2020,"Nov","Intell Based Med",1,"","100002","10.1016/j.ibmed.2020.100002","The analysis of county-level COVID-19 pandemic data faces computational and analytic challenges, particularly when considering the heterogeneity of data sources with variation in geographic, demographic, and socioeconomic factors between counties. This study presents a method to join relevant data from different sources to investigate underlying typological effects and disparities across typologies. Both consistencies within and variations between urban and non-urban counties are demonstrated. When different county types were stratified by age group distribution, this method identifies significant community mobility differences occurring before, during, and after the shutdown. Counties with a larger proportion of young adults (age 20-24) have higher baseline mobility and had the least mobility reduction during the lockdown."
"8","Nouvellet, P.; Bhatia, S.; Cori, A.; Ainslie, K. E. C.; Baguelin, M.; Bhatt, S.; Boonyasiri, A.; Brazeau, N. F.; Cattarino, L.; Cooper, L. V.; Coupland, H.; Cucunuba, Z. M.; Cuomo-Dannenburg, G.; Dighe, A.; Djaafara, B. A.; Dorigatti, I.; Eales, O. D.; van Elsland, S. L.; Nascimento, F. F.; FitzJohn, R. G.; Gaythorpe, K. A. M.; Geidelberg, L.; Green, W. D.; Hamlet, A.; Hauck, K.; Hinsley, W.; Imai, N.; Jeffrey, B.; Knock, E.; Laydon, D. J.; Lees, J. A.; Mangal, T.; Mellan, T. A.; Nedjati-Gilani, G.; Parag, K. V.; Pons-Salort, M.; Ragonnet-Cronin, M.; Riley, S.; Unwin, H. J. T.; Verity, R.; Vollmer, M. A. C.; Volz, E.; Walker, P. G. T.; Walters, C. E.; Wang, H.; Watson, O. J.; Whittaker, C.; Whittles, L. K.; Xi, X.; Ferguson, N. M.; Donnelly, C. A.","Reduction in mobility and COVID-19 transmission",2021,"17-Feb","Nat Commun",12,"1","1090","10.1038/s41467-021-21358-2","In response to the COVID-19 pandemic, countries have sought to control SARS-CoV-2 transmission by restricting population movement through social distancing interventions, thus reducing the number of contacts. Mobility data represent an important proxy measure of social distancing, and here, we characterise the relationship between transmission and mobility for 52 countries around the world. Transmission significantly decreased with the initial reduction in mobility in 73% of the countries analysed, but we found evidence of decoupling of transmission and mobility following the relaxation of strict control measures for 80% of countries. For the majority of countries, mobility explained a substantial proportion of the variation in transmissibility (median adjusted R-squared: 48%, interquartile range - IQR - across countries [27-77%]). Where a change in the relationship occurred, predictive ability decreased after the relaxation; from a median adjusted R-squared of 74% (IQR across countries [49-91%]) pre-relaxation, to a median adjusted R-squared of 30% (IQR across countries [12-48%]) post-relaxation. In countries with a clear relationship between mobility and transmission both before and after strict control measures were relaxed, mobility was associated with lower transmission rates after control measures were relaxed indicating that the beneficial effects of ongoing social distancing behaviours were substantial."
"9","Liu, J.; Hao, J.; Sun, Y.; Shi, Z.","Network analysis of population flow among major cities and its influence on COVID-19 transmission in China",2021,"May","Cities",112,"","103138","10.1016/j.cities.2021.103138","Large-scale and diffuse population flow amplifies the localized COVID-19 outbreak into a widespread pandemic. Network analysis provides a new methodology to uncover the topology and evolution of the population flow and understand its influence on the early dynamics of COVID-19 transmission. In this paper, we simulated 42 transmission scenarios to show the distribution of the COVID-19 outbreak across China. We predicted some original (Guangzhou, Shanghai, Shenzhen) had higher total aggregate population outflows than Wuhan, indicating larger spread scopes and faster growth rates of COVID-19 outbreak. We built an importation risk model to identify some major cities (Dongguan and Foshan) with the highest total importation risk values and the highest standard deviations, indicating the core transmission chains (Dongguan-Shenzhen, Foshan-Guangzhou). We built the population flow networks to analyze their Spatio-temporal characteristics and identify the influential sub-groups and spreaders. By removing different influential spreaders, we identified Guangzhou can most influence the network's topological characteristics, and some major cities' degree centrality was significantly decreased. Our findings quantified the effectiveness of travel restrictions on delaying the epidemic growth and limiting the spread scope of COVID-19 in China, which helped better derive the geographical COVID-19 transmission related to population flow networks' structural features."
"10","Du, Z.; Wang, L.; Cauchemez, S.; Xu, X.; Wang, X.; Cowling, B. J.; Meyers, L. A.","Risk for transportation of coronavirus disease from Wuhan to other cities in China",2020,"","Emerging Infectious Diseases",26,"5","1049-1052","10.3201/eid2605.200146","On January 23, 2020, China quarantined Wuhan to contain coronavirus disease (COVID-19). We estimated the probability of transportation of COVID-19 from Wuhan to 369 other cities in China before the quarantine. Expected COVID-19 risk is >50% in 130 (95% CI 89‚Äì190) cities and >99% in the 4 largest metropolitan areas."
